spp,timing,mean_tlp,lwr,upr,mean_lfm,lwr_lfm,upr_lfm
ABCO,fall,-2.0545480874101694,-2.0914780507671225,-2.0176181240532163,146.2132654823729,144.33930611220367,148.0872248525421
ABCO,spring,-3.0664687508625,-3.1024723823966434,-3.030465119328357,NA,NA,NA
ADFA,fall,-3.3104515573430078,-3.3312111691036086,-3.289691945582407,71.91001669516363,71.07740972277769,72.74262366754958
ARPA,fall,-2.231740758840708,-2.2738502392148088,-2.189631278466607,107.29096755738938,106.27571122320727,108.30622389157149
ARPA,spring,-2.162310264255319,-2.1872619672077174,-2.137358561302921,NA,NA,NA
CADE,fall,-2.2962612165854703,-2.3354065470218104,-2.2571158861491303,114.33839252606839,113.23598974880834,115.44079530332844
CADE,spring,-2.365465996067961,-2.3785174942593823,-2.3524144978765396,NA,NA,NA
CECO,fall,-2.714489914076433,-2.7401117267544732,-2.688868101398393,228.21522040305732,213.1335491174502,243.29689168866443
CECO,spring,-2.334897997225352,-2.389048706313698,-2.2807472881370057,NA,NA,NA
CEME,fall,-2.620938279942857,-2.6516307128696313,-2.590245847016083,92.51217811880001,91.82308535159339,93.20127088600663
PIJE,fall,-2.537273993175824,-2.581804556072153,-2.492743430279495,143.8870451868132,140.9796700310863,146.7944203425401
PIJE,spring,-2.7070721233867925,-2.7184109510828907,-2.6957332956906943,NA,NA,NA
QUKE,fall,-2.867821233237589,-2.9182305767225483,-2.8174118897526297,110.61565913276596,109.61666355773802,111.61465470779389
